"сумма док.,без НДС",% оплаты,"сумма оплачено,без НДС","сумма оплачено,с НДС ",дата докум.,Дата закр. Аванса,Дата постановки на оплату (аванс),"сумма док.,без НДС2","сумма док.,с НДС",дата докум.3,"сумма к оплате с учетом аванса,без НДС","сумма к оплате с учетом аванса,с НДС ",Дата постановки на оплату (оконч. платеж.),Контрагент
858957.9490445859,70.0,601270.5643312102,709499.265910828,2015-01-10,2015-02-25 00:00:00,2015-01-28 00:00:00,1401090.993630573,1653287.372484076,2015-01-31 00:00:00,799820.4292993629,943788.1065732483,2015-03-04 00:00:00,3
1494709.121019108,65.681946654891,981754.0475135606,1158469.776066002,2015-01-01,2015-02-25 00:00:00,2015-02-11 00:00:00,1342357.394904458,1583981.725987261,2015-03-19 00:00:00,360603.3473908978,425511.9499212594,2015-03-25 00:00:00,1
33992022.71337579,50.0,16996011.3566879,20055293.40089172,2014-12-19,2015-02-25 00:00:00,2015-01-21 00:00:00,34819196.03184713,41086651.31757962,2015-01-31 00:00:00,17823184.67515924,21031357.9166879,2015-02-25 00:00:00,2
6727359.872611465,50.0,3363679.936305732,3969142.324840764,2014-12-19,2015-02-25 00:00:00,2015-01-21 00:00:00,7850058.891719745,9263069.4922293,2015-01-31 00:00:00,4486378.955414013,5293927.167388536,2015-02-25 00:00:00,2
16384784.16819605,100.0,16384784.16819605,19334045.31847133,2015-01-12,2015-02-26 00:00:00,2015-01-13 00:00:00,47859923.56687898,56474709.80891719,2015-01-31 00:00:00,15090355.23048689,17806619.17197452,,4
16384784.16819605,100.0,16384784.16819605,19334045.31847133,2015-01-13,2015-02-26 00:00:00,2015-01-13 00:00:00,48537022.29299363,57273686.30573247,2015-02-17 00:00:00,15767453.95660154,18605595.6687898,2015-02-25 00:00:00,4
933155.7515923567,70.0,653209.0261146497,770786.6508152867,2015-02-10,2015-03-25 00:00:00,2015-02-04 00:00:00,1206914.936305732,1424159.624840764,2015-02-28 00:00:00,553705.9101910827,653372.9740254777,2015-03-25 00:00:00,3
1465481.063694268,66.0,967217.5020382166,1141316.652405096,2015-02-01,2015-03-25 00:00:00,2015-02-04 00:00:00,1344772.324840764,1586831.343312101,2015-03-19 00:00:00,377554.8228025475,445514.6909070059,2015-03-25 00:00:00,1
31071961.16560509,50.0,15535980.58280255,18332457.08770701,2015-01-23,2015-03-25 00:00:00,2015-02-04 00:00:00,32224680.68789809,38025123.21171974,2015-02-28 00:00:00,16688700.10509554,19692666.12401274,2015-03-25 00:00:00,2
6436695.859872611,50.0,3218347.929936306,3797650.55732484,2015-01-23,2015-03-25 00:00:00,2015-02-04 00:00:00,7071295.101910828,8344128.220254776,2015-02-28 00:00:00,3852947.171974522,4546477.662929935,2015-03-25 00:00:00,2
15659713.14649682,100.0,15659713.14649681,18478461.51286624,2015-02-02,2015-03-25 00:00:00,2015-02-04 00:00:00,45716493.63057324,53945462.48407643,2015-02-28 00:00:00,14397067.33757962,16988539.45834394,,4
15659713.14649682,100.0,15659713.14649681,18478461.51286624,2015-02-03,2015-03-25 00:00:00,2015-02-11 00:00:00,44876087.95541401,52953783.78738853,2015-03-17 00:00:00,13556661.66242038,15996860.76165605,2015-03-25 00:00:00,4
826753.050955414,70.0,578727.1356687897,682898.0200891718,2015-03-10,2015-04-29 00:00:00,2015-03-11 00:00:00,1149203.331210191,1356059.930828026,2015-03-31 00:00:00,570476.1955414014,673161.9107388537,2015-04-29 00:00:00,3
1472132.531184674,66.0,971607.4705818848,1146496.815286624,2015-03-05,2015-04-29 00:00:00,2015-03-11 00:00:00,1319115.566878981,1556556.368917197,2015-03-31 00:00:00,347508.0962970959,410059.5536305732,2015-04-29 00:00:00,1
35475876.59235669,50.0,17737938.29617834,20930767.18949044,2015-02-20,2015-04-29 00:00:00,2015-03-11 00:00:00,32015902.23566879,37778764.63808917,2015-03-31 00:00:00,14277963.93949044,16847997.44859872,2015-04-22 00:00:00,2
6685858.280254777,50.0,3342929.140127388,3944656.385350318,2015-02-20,2015-04-29 00:00:00,2015-03-11 00:00:00,7660123.210191082,9038945.388025476,2015-03-31 00:00:00,4317194.070063693,5094289.002675157,2015-04-22 00:00:00,2
16968531.26114649,100.0,16968531.26114649,20022866.88815286,2015-03-02,2015-04-29 00:00:00,2015-03-11 00:00:00,44728422.9299363,52779539.05732483,2015-03-31 00:00:00,10791360.40764332,12733805.28101911,,4
16968531.26114649,100.0,16968531.26114649,20022866.88815286,2015-03-03,2015-04-29 00:00:00,2015-03-18 00:00:00,46000223.52866241,54280263.76382165,2015-04-17 00:00:00,12063161.00636943,14234529.98751593,2015-04-22 00:00:00,4
778317.6050955413,70.0,544822.3235668789,642890.3418089171,2015-04-10,2015-05-27 00:00:00,2015-04-22 00:00:00,1129619.439490446,1332950.938598726,2015-04-30 00:00:00,584797.115923567,690060.5967898091,2015-05-27 00:00:00,3
1458916.936305732,66.0,962885.1779617833,1136204.509994904,2015-04-01,2015-05-27 00:00:00,2015-05-06 00:00:00,1284893.076433121,1516173.830191083,2015-04-30 00:00:00,322007.8984713377,379969.3201961785,2015-06-03 00:00:00,1
33511658.69426752,50.0,16755829.34713376,19771878.62961784,2015-03-19,2015-05-27 00:00:00,2015-04-08 00:00:00,33504308.15923567,39535083.62789808,2015-04-30 00:00:00,16748478.81210191,19763204.99828025,2015-05-27 00:00:00,2
6519750.0,50.0,3259875.0,3846652.5,2015-03-19,2015-05-27 00:00:00,2015-04-08 00:00:00,7424285.993630573,8760657.472484076,2015-04-30 00:00:00,4164410.993630573,4914004.972484076,2015-05-27 00:00:00,2
16299998.0955414,100.0,16299998.0955414,19233997.75273885,2015-04-01,2015-05-27 00:00:00,2015-04-08 00:00:00,46039261.14649681,54326328.15286623,2015-04-30 00:00:00,13439264.95541401,15858332.64738853,,4
16299998.0955414,100.0,16299998.0955414,19233997.75273885,2015-04-02,2015-05-27 00:00:00,2015-04-15 00:00:00,44532983.49044586,52548920.51872611,2015-05-18 00:00:00,11932987.29936306,14080925.01324841,2015-05-27 00:00:00,4
804442.337579618,70.0,1823364.34817014,2151569.930840765,2015-05-10,2015-06-24 00:00:00,2015-05-20 00:00:00,2161190.388535032,2550204.658471338,2015-05-31 00:00:00,337826.0403648925,398634.7276305729,,3
1473069.681528662,66.0,972225.9898089172,1147226.667974522,2015-05-01,2015-06-24 00:00:00,2015-05-06 00:00:00,1243078.949044586,1466833.159872611,2015-05-31 00:00:00,270852.9592356688,319606.4918980892,2015-07-08 00:00:00,1
34150138.20382165,50.0,17075069.10191083,20148581.54025477,2015-04-16,2015-06-24 00:00:00,2015-05-06 00:00:00,34100578.0700637,40238682.12267516,2015-05-31 00:00:00,17025508.96815287,20090100.58242039,2015-06-24 00:00:00,2
6685858.280254777,50.0,3342929.140127388,3944656.385350318,2015-04-16,2015-06-24 00:00:00,2015-05-06 00:00:00,7141066.394904459,8426458.34598726,2015-05-31 00:00:00,3798137.254777071,4481801.960636942,2015-06-24 00:00:00,2
16195882.52229299,100.0,16195882.52229299,19111141.37630573,2015-04-30,2015-06-24 00:00:00,2015-05-13 00:00:00,44796974.52229299,52860429.93630573,2015-05-31 00:00:00,12405209.47770701,14638147.18369427,,4
16195882.52229299,100.0,16195882.52229299,19111141.37630573,2015-04-30,2015-06-24 00:00:00,2015-05-20 00:00:00,45575185.3821656,53778718.75095541,2015-06-17 00:00:00,13183420.33757962,15556435.99834395,2015-06-24 00:00:00,4
