МОЩНОСТЬ,Рынок на сутки вперед (РСВ),Электроэнергия по РД,Балансирующий рынок (покупка),"УСЛУГИ АТС ,ЦФР и СО",Балансирующий рынок (продажа),РСВ (продажа),"Объем потребления, кВтч",Год,Месяц
"27 856 722,58","1 172 518,28","58 229 338,75","1 909 600,13","314 082,63","-659 523,88","-1 940 955,58",88 893 306,2019,1
"29 457 544,09","1 911 608,62","52 686 114,39","556 880,95","291 290,45","-1 161 772,16","-1 015 795,65",80 434 679,2019,2
"25 593 528,14","3 215 261,09","55 539 440,25","1 402 873,12","294 727,11","-1 293 039,25","-920 066,19",88 807 657,2019,3
"23 551 519,85","2 205 103,25","61 070 046,69","1 033 544,97","300 954,41","-1 437 984,18","-808 853,32",84 527 764,2019,4
"29 414 538,66","850 226,55","49 283 304,69","681 313,19","300 896,36","-921 031,93","-816 597,24",85 367 082,2019,5
"37 859 866,41","3 353 289,44","38 342 316,24","527 428,17","285 383,11","-1 363 819,19","-131 499,59",78 828 608,2019,6
"38 604 023,26","122 961,08","50 087 799,89","611 410,09","286 042,67","-481 171,66","-3 247 801,80",78 674 192,2019,7
"23 489 485,75","481 064,29","51 563 822,94","1 254 386,37","279 475,77","-437 827,85","-4 147 336,64",78 213 113,2019,8
"42 719 142,15","1 656 485,53","59 708 384,45","321 812,64","286 189,99","-1 230 707,73","-1 789 848,42",79 340 135,2019,9
"26 485 502,21","2 572 091,17","55 200 341,80","1 454 225,38","294 599,11","-454 188,50","-2 121 155,65",86 017 087,2019,10
"44 429 683,47","4 526 687,38","57 139 589,02","1 272 867,19","311 012,14","-428 057,15","-801 569,91",87 311 536,2019,11
"44 006 671,73","4 622 660,20","50 200 756,00","869 523,47","319 987,31","-586 172,17","-558 035,79",91 047 400,2019,12
"34 413 820,30","1 624 074,94","59 958 701,08","745 829,70","321 264,17","-958 030,83","-1 218 172,98",88 216 297,2020,1
"34 395 863,13","3 242 661,00","55 108 748,95","345 985,86","302 346,77","-1 312 129,96","-457 901,41",81 877 308,2020,2
"33 625 527,81","1 157 971,02","58 028 812,67","216 747,13","303 389,89","-1 309 346,23","-1 188 886,36",85 458 665,2020,3
"34 001 449,73","0,76","58 432 267,67","615 111,16","300 521,89","-920 043,72","-2 522 039,17",81 989 855,2020,4
"33 285 192,97","72 872,92","56 628 860,12","1 291 987,78","297 006,10","-442 296,99","-2 652 879,55",83 318 831,2020,5
"32 195 033,23","3 778 091,61","51 769 432,15","667 009,80","293 444,29","-1 155 946,53","-538 686,15",80 071 612,2020,6
"33 654 696,57","423 502,90","60 085 713,23","1 343 486,50","676 447,94","-469 026,86","-2 974 446,37",81 488 685,2020,7
"34 392 447,08","77 369,38","60 707 748,95","1 484 519,66","672 723,04","-440 537,43","-4 154 411,41",79 120 871,2020,8
"35 035 579,84","734 185,78","59 910 085,42","1 130 369,69","663 370,58","-327 072,74","-2 794 127,52",82 162 246,2020,9
"35 175 742,42","2 576 310,24","60 929 089,23","1 557 043,75","695 767,08","-478 255,86","-1 645 593,22",87 645 197,2020,10
"36 761 280,51","2 480 070,76","60 175 869,94","1 189 209,72","729 037,07","-622 885,61","-1 052 431,25",86 741 755,2020,11
"36 719 184,97","4 041 799,75","62 480 130,51","885 461,53","726 193,45","-939 435,26","-763 247,69",89 786 036,2020,12
